Date,XOM/CVX,KO/PEP,JPM/BAC,HD/LOW
2024-04-18,1.0,1.0,1.0,1.0
2024-04-19,1.0,1.0,1.0,1.0
2024-04-22,1.0,1.0,1.0,1.0
2024-04-23,1.0,1.0,1.0,1.0
2024-04-24,1.0,1.0,1.0,1.0
2024-04-25,1.0,1.0,1.0,1.0
2024-04-26,1.0,1.0,1.0,1.0
2024-04-29,1.0,1.0,1.0,1.0
2024-04-30,1.0,1.0,1.0,1.0
2024-05-01,1.0,1.0,1.0,1.0
2024-05-02,1.0,1.0,1.0,1.0
2024-05-03,1.0,1.0,1.0,1.0
2024-05-06,1.0,1.0,1.0,1.0
2024-05-07,1.0,1.0,1.0,1.0
2024-05-08,1.0,1.0,1.0,1.0
2024-05-09,1.0,1.0,1.0,1.0
2024-05-10,1.0,1.0,1.0,1.0
2024-05-13,1.0,1.0,1.0,1.0
2024-05-14,1.0,1.0,1.0,1.0
2024-05-15,1.0,1.0,1.0,1.0
2024-05-16,1.0,1.0,1.0,1.0
2024-05-17,1.0,1.0,1.0,1.0
2024-05-20,1.0,1.0,1.0,1.0
2024-05-21,1.0,1.0,1.0,1.0
2024-05-22,1.0,1.0,1.0,1.0
2024-05-23,1.0,1.0,1.0,1.0
2024-05-24,1.0,1.0,1.0,1.0
2024-05-28,1.0,1.0,1.0,1.0
2024-05-29,1.0,1.0,1.0,1.0
2024-05-30,1.0,1.0,1.0,1.0
2024-05-31,1.0,1.0,1.0,1.0
2024-06-03,1.0,1.0,1.0,1.0
2024-06-04,1.0,1.0,1.0,1.0
2024-06-05,1.0,1.0,1.0,1.0
2024-06-06,1.0,1.0,1.0,1.0
2024-06-07,1.0,1.0,1.0,1.0
2024-06-10,1.0,1.0,1.0,1.0
2024-06-11,1.0,1.0,1.0,1.0
2024-06-12,1.0,1.0,1.0,1.0
2024-06-13,1.0,1.0,1.0,1.0
2024-06-14,1.0,1.0,1.0,1.0
2024-06-17,1.0,1.0,1.0,1.0
2024-06-18,1.0,1.0,1.0,1.0
2024-06-20,1.0,1.0,1.0,1.0
2024-06-21,1.0,1.0,1.0,1.0
2024-06-24,1.0,1.0,1.0,1.0
2024-06-25,1.0,1.0,1.0,1.0
2024-06-26,1.0,1.0,1.0,1.0
2024-06-27,1.0,1.0,1.0,1.0
2024-06-28,1.0,1.0,1.0,1.0
2024-07-01,1.0,1.0,1.0,1.0
2024-07-02,1.0,1.0,1.0,1.0
2024-07-03,1.0,1.0,1.0,1.0
2024-07-05,1.0,1.0,1.0,1.0
2024-07-08,1.0,1.0,1.0,1.0
2024-07-09,1.0,1.0,1.0,1.0
2024-07-10,1.0,1.0,1.0,1.0
2024-07-11,1.0,1.0,1.0,1.0
2024-07-12,1.0,1.0,1.0,1.0
2024-07-15,1.0,1.0,1.0,1.0
2024-07-16,1.0,1.0,1.0,1.0
2024-07-17,1.0,1.0,1.0,1.0
2024-07-18,1.0,1.0,1.0,1.0
2024-07-19,1.0,1.0,1.0,1.0
2024-07-22,1.0,1.0,1.0,1.0
2024-07-23,1.0,1.0,1.0,1.0
2024-07-24,0.9991142547623827,1.0,1.0,1.0
2024-07-25,0.9903688945215791,1.0,1.0,1.0
2024-07-26,0.992667092263078,1.0,1.0,1.0
2024-07-29,0.9970572138400187,1.0,1.0,1.0
2024-07-30,0.9938689766352441,1.0,0.9978724227787337,1.0
2024-07-31,0.9946612915450826,1.0,0.9326285597228314,1.0
2024-08-01,0.9708775081166022,1.0,0.8928372420064495,1.0
2024-08-02,0.9514839893586774,1.0,0.7894354332488975,1.0
